countryiso3code,date,value
ABW,1990.0,143.482
ABW,1991.0,142.729
ABW,1992.0,141.976
ABW,1993.0,141.725
ABW,1994.0,141.475
ABW,1995.0,141.225
ABW,1996.0,140.974
ABW,1997.0,140.724
ABW,1998.0,139.937
ABW,1999.0,139.15
ABW,2000.0,138.363
ABW,2001.0,137.576
ABW,2002.0,136.789
ABW,2003.0,135.137
ABW,2004.0,133.485
ABW,2005.0,131.832
ABW,2006.0,130.18
ABW,2007.0,128.527
ABW,2008.0,126.884
ABW,2009.0,125.241
ABW,2010.0,123.598
ABW,2011.0,121.954
ABW,2012.0,120.311
ABW,2013.0,118.655
ABW,2014.0,116.999
ABW,2015.0,115.343
ABW,2016.0,113.686
ABW,2017.0,112.03
ABW,2018.0,110.63
ABW,2019.0,109.044
ABW,2020.0,0.0
AFE,1990.0,796.435807770328
AFE,1991.0,801.925301189922
AFE,1992.0,807.143358081453
AFE,1993.0,814.708137060459
AFE,1994.0,822.5348066221441
AFE,1995.0,830.596648616448
AFE,1996.0,838.741472546115
AFE,1997.0,846.918027140291
AFE,1998.0,849.063608137249
AFE,1999.0,851.1956208701611
AFE,2000.0,853.280382211414
AFE,2001.0,855.150291742132
AFE,2002.0,856.888858530717
AFE,2003.0,838.568073742866
AFE,2004.0,820.2086259452
AFE,2005.0,801.814045221143
AFE,2006.0,783.4100602191311
AFE,2007.0,764.941183096848
AFE,2008.0,747.497688309061
AFE,2009.0,730.122078711626
AFE,2010.0,712.814930657871
AFE,2011.0,695.534566331417
AFE,2012.0,678.324006273494
AFE,2013.0,665.5412626054849
AFE,2014.0,652.8399427502659
AFE,2015.0,640.220699556801
AFE,2016.0,627.6554927522859
AFE,2017.0,615.163030033495
AFE,2018.0,612.128695578442
AFE,2019.0,604.942466962036
AFE,2020.0,0.0
AFG,1990.0,396.086
AFG,1991.0,387.388
AFG,1992.0,378.69
AFG,1993.0,373.407
AFG,1994.0,368.125
AFG,1995.0,362.842
AFG,1996.0,357.559
AFG,1997.0,352.277
AFG,1998.0,346.143
AFG,1999.0,340.009
AFG,2000.0,333.875
AFG,2001.0,327.741
AFG,2002.0,321.607
AFG,2003.0,314.533
AFG,2004.0,307.459
AFG,2005.0,300.386
AFG,2006.0,293.312
AFG,2007.0,286.238
AFG,2008.0,281.258
AFG,2009.0,276.279
AFG,2010.0,271.299
AFG,2011.0,266.32
AFG,2012.0,261.34
AFG,2013.0,257.135
AFG,2014.0,252.93
AFG,2015.0,248.724
AFG,2016.0,244.519
AFG,2017.0,240.314
AFG,2018.0,237.554
AFG,2019.0,233.884
AFG,2020.0,0.0
AGO,1990.0,469.641
AGO,1991.0,468.494
AGO,1992.0,467.347
AGO,1993.0,461.699
AGO,1994.0,456.052
AGO,1995.0,450.405
AGO,1996.0,444.757
AGO,1997.0,439.11
AGO,1998.0,428.812
AGO,1999.0,418.515
AGO,2000.0,408.217
AGO,2001.0,397.919
AGO,2002.0,387.622
AGO,2003.0,376.772
AGO,2004.0,365.922
AGO,2005.0,355.073
AGO,2006.0,344.223
AGO,2007.0,333.373
AGO,2008.0,324.524
AGO,2009.0,315.675
AGO,2010.0,306.825
AGO,2011.0,297.976
AGO,2012.0,289.127
AGO,2013.0,285.989
AGO,2014.0,282.85
AGO,2015.0,279.712
AGO,2016.0,276.573
AGO,2017.0,273.435
AGO,2018.0,327.044
AGO,2019.0,323.091
AGO,2020.0,0.0
ALB,1990.0,143.752
ALB,1991.0,146.637
ALB,1992.0,149.521
ALB,1993.0,147.646
ALB,1994.0,145.771
ALB,1995.0,143.896
ALB,1996.0,142.021
ALB,1997.0,140.146
ALB,1998.0,134.877
ALB,1999.0,129.608
ALB,2000.0,124.34
ALB,2001.0,119.071
ALB,2002.0,113.802
ALB,2003.0,112.225
ALB,2004.0,110.647
ALB,2005.0,109.069
ALB,2006.0,107.492
ALB,2007.0,105.914
ALB,2008.0,106.004
ALB,2009.0,106.094
ALB,2010.0,106.184
ALB,2011.0,106.273
ALB,2012.0,106.363
ALB,2013.0,103.981
ALB,2014.0,101.598
ALB,2015.0,99.215
ALB,2016.0,96.833
ALB,2017.0,94.45
ALB,2018.0,93.315
ALB,2019.0,92.179
ALB,2020.0,0.0
AND,1990.0,0.0
AND,1991.0,0.0
AND,1992.0,0.0
AND,1993.0,0.0
AND,1994.0,0.0
AND,1995.0,0.0
AND,1996.0,0.0
AND,1997.0,0.0
AND,1998.0,0.0
AND,1999.0,0.0
AND,2000.0,0.0
AND,2001.0,0.0
AND,2002.0,0.0
AND,2003.0,0.0
AND,2004.0,0.0
AND,2005.0,0.0
AND,2006.0,0.0
AND,2007.0,0.0
AND,2008.0,0.0
AND,2009.0,0.0
AND,2010.0,0.0
AND,2011.0,0.0
AND,2012.0,0.0
AND,2013.0,0.0
AND,2014.0,0.0
AND,2015.0,0.0
AND,2016.0,0.0
AND,2017.0,0.0
AND,2018.0,0.0
AND,2019.0,0.0
AND,2020.0,0.0
ARB,1990.0,228.705557156588
ARB,1991.0,225.36364744171
ARB,1992.0,223.329587400545
ARB,1993.0,220.116252329081
ARB,1994.0,216.947333272074
ARB,1995.0,212.874699419766
ARB,1996.0,209.738708060786
ARB,1997.0,206.613394432112
ARB,1998.0,203.87967023095
ARB,1999.0,201.173734585698
ARB,2000.0,198.482057218531
ARB,2001.0,195.618790536056
ARB,2002.0,192.774639742733
ARB,2003.0,189.960893100837
ARB,2004.0,187.079571282975
ARB,2005.0,184.099416772948
ARB,2006.0,180.820215664339
ARB,2007.0,177.471086679896
ARB,2008.0,175.319529456271
ARB,2009.0,173.340993219748
ARB,2010.0,171.526242363649
ARB,2011.0,169.798135978435
ARB,2012.0,168.01772200181
ARB,2013.0,165.945580277896
ARB,2014.0,163.979010292862
ARB,2015.0,162.106929620183
ARB,2016.0,160.262439760934
ARB,2017.0,158.511351328581
ARB,2018.0,153.912560526827
ARB,2019.0,151.77419057386
ARB,2020.0,0.0
ARE,1990.0,146.0
ARE,1991.0,142.142
ARE,1992.0,138.285
ARE,1993.0,134.799
ARE,1994.0,131.312
ARE,1995.0,127.826
ARE,1996.0,124.34
ARE,1997.0,120.854
ARE,1998.0,117.758
ARE,1999.0,114.662
ARE,2000.0,111.566
ARE,2001.0,108.47
ARE,2002.0,105.374
ARE,2003.0,102.665
ARE,2004.0,99.955
ARE,2005.0,97.245
ARE,2006.0,94.535
ARE,2007.0,91.826
ARE,2008.0,90.298
ARE,2009.0,88.77
ARE,2010.0,87.243
ARE,2011.0,85.715
ARE,2012.0,84.187
ARE,2013.0,82.963
ARE,2014.0,81.739
ARE,2015.0,80.514
ARE,2016.0,79.29
ARE,2017.0,78.066
ARE,2018.0,69.555
ARE,2019.0,68.616
ARE,2020.0,0.0
ARG,1990.0,204.577
ARG,1991.0,201.917
ARG,1992.0,199.256
ARG,1993.0,196.966
ARG,1994.0,194.675
ARG,1995.0,192.384
ARG,1996.0,190.093
ARG,1997.0,187.803
ARG,1998.0,185.654
ARG,1999.0,183.504
ARG,2000.0,181.355
ARG,2001.0,179.206
ARG,2002.0,177.056
ARG,2003.0,175.041
ARG,2004.0,173.026
ARG,2005.0,171.011
ARG,2006.0,168.996
ARG,2007.0,166.981
ARG,2008.0,165.094
ARG,2009.0,163.206
ARG,2010.0,161.318
ARG,2011.0,159.43
ARG,2012.0,157.542
ARG,2013.0,155.775
ARG,2014.0,154.008
ARG,2015.0,152.24
ARG,2016.0,150.473
ARG,2017.0,148.705
ARG,2018.0,147.086
ARG,2019.0,145.466
ARG,2020.0,0.0
ARM,1990.0,234.251
ARM,1991.0,241.945
ARM,1992.0,249.64
ARM,1993.0,243.642
ARM,1994.0,237.644
ARM,1995.0,231.646
ARM,1996.0,225.649
ARM,1997.0,219.651
ARM,1998.0,213.162
ARM,1999.0,206.673
ARM,2000.0,200.185
ARM,2001.0,193.696
ARM,2002.0,187.207
ARM,2003.0,189.896
ARM,2004.0,192.585
ARM,2005.0,195.273
ARM,2006.0,197.962
ARM,2007.0,200.65
ARM,2008.0,196.828
ARM,2009.0,193.005
ARM,2010.0,189.182
ARM,2011.0,185.359
ARM,2012.0,181.537
ARM,2013.0,179.629
ARM,2014.0,177.721
ARM,2015.0,175.814
ARM,2016.0,173.906
ARM,2017.0,171.999
ARM,2018.0,173.428
ARM,2019.0,171.841
ARM,2020.0,0.0
ASM,1990.0,0.0
ASM,1991.0,0.0
ASM,1992.0,0.0
ASM,1993.0,0.0
ASM,1994.0,0.0
ASM,1995.0,0.0
ASM,1996.0,0.0
ASM,1997.0,0.0
ASM,1998.0,0.0
ASM,1999.0,0.0
ASM,2000.0,0.0
ASM,2001.0,0.0
ASM,2002.0,0.0
ASM,2003.0,0.0
ASM,2004.0,0.0
ASM,2005.0,0.0
ASM,2006.0,0.0
ASM,2007.0,0.0
ASM,2008.0,0.0
ASM,2009.0,0.0
ASM,2010.0,0.0
ASM,2011.0,0.0
ASM,2012.0,0.0
ASM,2013.0,0.0
ASM,2014.0,0.0
ASM,2015.0,0.0
ASM,2016.0,0.0
ASM,2017.0,0.0
ASM,2018.0,0.0
ASM,2019.0,0.0
ASM,2020.0,0.0
ATG,1990.0,200.154
ATG,1991.0,198.034
ATG,1992.0,195.914
ATG,1993.0,193.91
ATG,1994.0,191.905
ATG,1995.0,189.9
ATG,1996.0,187.895
ATG,1997.0,185.891
ATG,1998.0,183.993
ATG,1999.0,182.095
ATG,2000.0,180.197
ATG,2001.0,178.299
ATG,2002.0,176.401
ATG,2003.0,174.606
ATG,2004.0,172.811
ATG,2005.0,171.016
ATG,2006.0,169.222
ATG,2007.0,167.427
ATG,2008.0,165.5
ATG,2009.0,163.573
ATG,2010.0,161.646
ATG,2011.0,159.719
ATG,2012.0,157.793
ATG,2013.0,156.198
ATG,2014.0,154.604
ATG,2015.0,153.01
ATG,2016.0,151.416
ATG,2017.0,149.822
ATG,2018.0,126.917
ATG,2019.0,125.741
ATG,2020.0,0.0
AUS,1990.0,123.906
AUS,1991.0,118.763
AUS,1992.0,116.61
AUS,1993.0,112.772
