countryiso3code,date,value,value_min,value_max
ABW,1990.0,62152.0,,
ABW,1991.0,64623.0,,
ABW,1992.0,68240.0,,
ABW,1993.0,72495.0,,
ABW,1994.0,76705.0,,
ABW,1995.0,80324.0,,
ABW,1996.0,83211.0,,
ABW,1997.0,85450.0,,
ABW,1998.0,87280.0,,
ABW,1999.0,89009.0,,
ABW,2000.0,90866.0,,
ABW,2001.0,92892.0,,
ABW,2002.0,94992.0,,
ABW,2003.0,97016.0,,
ABW,2004.0,98744.0,,
ABW,2005.0,100028.0,,
ABW,2006.0,100830.0,,
ABW,2007.0,101226.0,,
ABW,2008.0,101362.0,,
ABW,2009.0,101452.0,,
ABW,2010.0,101665.0,,
ABW,2011.0,102050.0,,
ABW,2012.0,102565.0,,
ABW,2013.0,103165.0,,
ABW,2014.0,103776.0,,
ABW,2015.0,104339.0,,
ABW,2016.0,104865.0,,
ABW,2017.0,105361.0,,
ABW,2018.0,105846.0,,
ABW,2019.0,106310.0,,
ABW,2020.0,106766.0,,
AFE,1990.0,509451875.0,,
AFE,1991.0,523726960.0,,
AFE,1992.0,538246439.0,,
AFE,1993.0,553020385.0,,
AFE,1994.0,568072070.0,,
AFE,1995.0,583413287.0,,
AFE,1996.0,599067774.0,,
AFE,1997.0,615054341.0,,
AFE,1998.0,631400703.0,,
AFE,1999.0,648148338.0,,
AFE,2000.0,665327588.0,,
AFE,2001.0,682956023.0,,
AFE,2002.0,701066197.0,,
AFE,2003.0,719716165.0,,
AFE,2004.0,738983247.0,,
AFE,2005.0,758924664.0,,
AFE,2006.0,779566846.0,,
AFE,2007.0,800908567.0,,
AFE,2008.0,822945490.0,,
AFE,2009.0,845655209.0,,
AFE,2010.0,869025115.0,,
AFE,2011.0,893045863.0,,
AFE,2012.0,917725880.0,,
AFE,2013.0,943039474.0,,
AFE,2014.0,968958352.0,,
AFE,2015.0,995458498.0,,
AFE,2016.0,1022530245.0,,
AFE,2017.0,1050162810.0,,
AFE,2018.0,1078319512.0,,
AFE,2019.0,1106957870.0,,
AFE,2020.0,1136046775.0,,
AFG,1990.0,12412311.0,,
AFG,1991.0,13299016.0,,
AFG,1992.0,14485543.0,,
AFG,1993.0,15816601.0,,
AFG,1994.0,17075728.0,,
AFG,1995.0,18110662.0,,
AFG,1996.0,18853444.0,,
AFG,1997.0,19357126.0,,
AFG,1998.0,19737770.0,,
AFG,1999.0,20170847.0,,
AFG,2000.0,20779957.0,,
AFG,2001.0,21606992.0,,
AFG,2002.0,22600774.0,,
AFG,2003.0,23680871.0,,
AFG,2004.0,24726689.0,,
AFG,2005.0,25654274.0,,
AFG,2006.0,26433058.0,,
AFG,2007.0,27100542.0,,
AFG,2008.0,27722281.0,,
AFG,2009.0,28394806.0,,
AFG,2010.0,29185511.0,,
AFG,2011.0,30117411.0,,
AFG,2012.0,31161378.0,,
AFG,2013.0,32269592.0,,
AFG,2014.0,33370804.0,,
AFG,2015.0,34413603.0,,
AFG,2016.0,35383028.0,,
AFG,2017.0,36296111.0,,
AFG,2018.0,37171922.0,,
AFG,2019.0,38041757.0,,
AFG,2020.0,38928341.0,,
AGO,1990.0,11848385.0,,
AGO,1991.0,12248901.0,,
AGO,1992.0,12657361.0,,
AGO,1993.0,13075044.0,,
AGO,1994.0,13503753.0,,
AGO,1995.0,13945205.0,,
AGO,1996.0,14400722.0,,
AGO,1997.0,14871572.0,,
AGO,1998.0,15359600.0,,
AGO,1999.0,15866871.0,,
AGO,2000.0,16395477.0,,
AGO,2001.0,16945753.0,,
AGO,2002.0,17519418.0,,
AGO,2003.0,18121477.0,,
AGO,2004.0,18758138.0,,
AGO,2005.0,19433604.0,,
AGO,2006.0,20149905.0,,
AGO,2007.0,20905360.0,,
AGO,2008.0,21695636.0,,
AGO,2009.0,22514275.0,,
AGO,2010.0,23356247.0,,
AGO,2011.0,24220660.0,,
AGO,2012.0,25107925.0,,
AGO,2013.0,26015786.0,,
AGO,2014.0,26941773.0,,
AGO,2015.0,27884380.0,,
AGO,2016.0,28842482.0,,
AGO,2017.0,29816769.0,,
AGO,2018.0,30809787.0,,
AGO,2019.0,31825299.0,,
AGO,2020.0,32866268.0,,
ALB,1990.0,3286542.0,,
ALB,1991.0,3266790.0,,
ALB,1992.0,3247039.0,,
ALB,1993.0,3227287.0,,
ALB,1994.0,3207536.0,,
ALB,1995.0,3187784.0,,
ALB,1996.0,3168033.0,,
ALB,1997.0,3148281.0,,
ALB,1998.0,3128530.0,,
ALB,1999.0,3108778.0,,
ALB,2000.0,3089027.0,,
ALB,2001.0,3060173.0,,
ALB,2002.0,3051010.0,,
ALB,2003.0,3039616.0,,
ALB,2004.0,3026939.0,,
ALB,2005.0,3011487.0,,
ALB,2006.0,2992547.0,,
ALB,2007.0,2970017.0,,
ALB,2008.0,2947314.0,,
ALB,2009.0,2927519.0,,
ALB,2010.0,2913021.0,,
ALB,2011.0,2905195.0,,
ALB,2012.0,2900401.0,,
ALB,2013.0,2895092.0,,
ALB,2014.0,2889104.0,,
ALB,2015.0,2880703.0,,
ALB,2016.0,2876101.0,,
ALB,2017.0,2873457.0,,
ALB,2018.0,2866376.0,,
ALB,2019.0,2854191.0,,
ALB,2020.0,2837743.0,,
AND,1990.0,54508.0,,
AND,1991.0,56666.0,,
AND,1992.0,58882.0,,
AND,1993.0,60974.0,,
AND,1994.0,62676.0,,
AND,1995.0,63860.0,,
AND,1996.0,64363.0,,
AND,1997.0,64318.0,,
AND,1998.0,64140.0,,
AND,1999.0,64368.0,,
AND,2000.0,65390.0,,
AND,2001.0,67344.0,,
AND,2002.0,70048.0,,
AND,2003.0,73180.0,,
AND,2004.0,76250.0,,
AND,2005.0,78871.0,,
AND,2006.0,80995.0,,
AND,2007.0,82682.0,,
AND,2008.0,83860.0,,
AND,2009.0,84461.0,,
AND,2010.0,84454.0,,
AND,2011.0,83748.0,,
AND,2012.0,82427.0,,
AND,2013.0,80770.0,,
AND,2014.0,79213.0,,
AND,2015.0,77993.0,,
AND,2016.0,77295.0,,
AND,2017.0,76997.0,,
AND,2018.0,77008.0,,
